10520450	Type 2 rice metallothionein-like gene has two introns.	1998	DNA Seq	A type 2 rice metallothionein-like gene was isolated from root by PCR and sequenced. The PCR fragment was designated as pcr1460, which overlaps with OsMT-2, a cDNA sequence previously characterized, with the presence of two additional segments, 583 and 613 bp in length. These segments are recognized as introns which divide the coding sequence into three exons, 65, 78 and 106 base pairs in length. The sequences flanking the introns conform with the GT/AG rule for splice junctions, and one exonic open reading frame can be identified in each of the introns. The observation that MT-like gene has two introns is the first of such a finding obtained from monocotyledonous plants.
8541504	A gibberellin-stimulated ubiquitin-conjugating enzyme gene is involved in alpha-amylase gene expression in rice aleurone.	1995	Plant Mol Biol	A ubiquitin-conjugating enzyme (UBC) gene, induced by gibberellin (GA) within an hour, was identified in rice (Oryza sativa) seeds by the mRNA differential display technique. GA inducibility was confirmed by RNA hybridization. A full-length UBC cDNA clone and a genomic clone have been isolated and sequenced. The deduced amino acid sequence shares a significant identity with several known UBC sequences, which are probably involved in the pathway responsible for degrading short-lived regulatory proteins. In vivo transient assays using the UBC gene promoter, joined to the luciferase cDNA as the reporter gene, showed that the sequence located between positions 231 and 159 upstream of the transcription start site of this promoter is crucial for GA-dependent activation of the luciferase cDNA. Finally, trans-activation experiments indicated that this UBC gene is involved in gibberellin-stimulated alpha-amylase gene expression.
9107028	Cloning of a Ca(2+)-ATPase gene and the role of cytosolic Ca2+ in the gibberellin-dependent signaling pathway in aleurone cells.	1997	Plant J	The ultimate goal of this investigation was to identify intermediary steps in the gibberellin (GA)-dependent signaling pathway in rice aleurone cells. By using a differential display approach, a number of putative GA-responsive genes were isolated. One of them, a GA-responsive Ca(2+)-ATPase gene, was identified and partially characterized. A genomic clone and a cDNA clone were isolated and sequenced. The deduced amino acid sequence showed that this protein resembles an endoplasmic reticulum membrane Ca(2+)-ATPase. In a transient assay in rice aleurone cells, expression of the introduced Ca(2+)-ATPase cDNA bypassed the GA requirement for stimulating the expression of a major target gene, the alpha-amylase c gene (Osamy-c). This result suggests that GA-dependent expression of this Ca(2+)-ATPase gene (OsCa-atpase) plays an important role in the GA-dependent signal-transduction pathway. To investigate the possible involvement of other proteins and genes that may affect the intracellular Ca2+ level, compounds which can block different putative steps in the signal-transduction pathway were introduced into rice aleurone cells, and then the level of the OsCa-atpase transcript or the Osamy-c transcript was monitored. In the presence of GA, the rice Ca(2+)-ATPase and the Ca2+ channels appeared to co-regulate the local concentration of cytosolic Ca2+. The release of Ca2+ from the internal stores to the cytoplasm was presumably initiated by inositol-1,4,5-triphosphate which reached a peak level within 25 min after GA induction. As a second messenger, Ca2+ binds to calmodulin (CaM), and the Ca2+/CaM complex regulates the cytosolic Ca2+ by affecting expression of the OsCa-atpase. Finally, a working model is proposed for the GA-dependent signaling pathway in aleurone cells.
15663008	Molecular cloning and expression analysis of rice phosphoribulokinase gene that is regulated by environmental stresses.	2004	Mol Biol Rep	Phosphoribulokinase (PRKase, EC 2.7.1.19) plays an important role in regulating the flow of sugar through the Calvin cycle. To investigate its regulatory character and expression pattern, the gene encoding PRKase in rice was cloned by RACE. A full-length cDNA with an open reading frame of 1212 bp encoding 403 amino acids residues was obtained from an indica rice variety, 9311. The OsPrk is a single locus gene in the rice genome. It is localized in the region of 28.32 approximately 28.33 Mb on the Chromosome 2, flanked by the genetic markers RM450 and MRG0168. RT-PCR analysis revealed that OsPrk gene was expressed in all the tissues we tested and OsPrk transcript level could be dramatically boosted by light illumination. Its expression was down-regulated by externally applied NaCl, ABA, MeJA and glucose over 24 hr, whereas it was up-regulated by GA after 24 hr treatments. These results also indicated that OsPrk gene expression is modulated by these factors at multiple levels.
12624189	Increasing vitamin C content of plants through enhanced ascorbate recycling.	2003	Proc Natl Acad Sci U S A	Vitamin C (ascorbic acid) is essential to prevent disease associated with connective tissue (e.g., scurvy), improves cardiovascular and immune cell functions, and is used to regenerate alpha-tocopherol (vitamin E). In contrast to most animals, humans lack the ability to synthesize ascorbic acid as a result of a mutation in the last enzyme required for ascorbate biosynthesis. Vitamin C, therefore, must be obtained from dietary sources and, because it cannot be stored in the body, it must be obtained regularly. Once used, ascorbic acid can be regenerated from its oxidized form in a reaction catalyzed by dehydroascorbate reductase (DHAR). To examine whether overexpression of DHAR in plants would increase the level of ascorbic acid through improved ascorbate recycling, a DHAR cDNA from wheat was isolated and expressed in tobacco and maize, where DHAR expression was increased up to 32- and 100-fold, respectively. The increase in DHAR expression increased foliar and kernel ascorbic acid levels 2- to 4-fold and significantly increased the ascorbate redox state in both tobacco and maize. In addition, the level of glutathione, the reductant used by DHAR, also increased, as did its redox state. These results demonstrate that the vitamin C content of plants can be elevated by increasing expression of the enzyme responsible for recycling ascorbate.
12913152	BWMK1, a rice mitogen-activated protein kinase, locates in the nucleus and mediates pathogenesis-related gene expression by activation of a transcription factor.	2003	Plant Physiol	Mitogen-activated protein kinase (MAPK) cascades are known to transduce plant defense signals, but the downstream components of the MAPK have as yet not been elucidated. Here, we report an MAPK from rice (Oryza sativa), BWMK1, and a transcription factor, OsEREBP1, phosphorylated by the kinase. The MAPK carries a TDY phosphorylation motif instead of the more common TEY motif in its kinase domain and has an unusually extended C-terminal domain that is essential to its kinase activity and translocation to the nucleus. The MAPK phosphorylates OsEREBP1 that binds to the GCC box element (AGCCGCC) of the several basic pathogenesis-related gene promoters, which in turn enhances DNA-binding activity of the factor to the cis element in vitro. Transient co-expression of the BWMK1 and OsEREBP1 in Arabidopsis protoplasts elevates the expression of the beta-glucuronidase reporter gene driven by the GCC box element. Furthermore, transgenic tobacco (Nicotiana tabacum) plants overexpressing BWMK1 expressed many pathogenesis-related genes at higher levels than wild-type plants with an enhanced resistance to pathogens. These findings suggest that MAPKs contribute to plant defense signal transduction by phosphorylating one or more transcription factors.
16115061	Rice NRR, a negative regulator of disease resistance, interacts with Arabidopsis NPR1 and rice NH1.	2005	Plant J	Arabidopsis NPR1/NIM1 is a key regulator of systemic acquired resistance (SAR), which confers lasting broad-spectrum resistance. Over-expression of Arabidopsis NPR1 or the NPR1 homolog 1 (NH1) in rice results in enhanced resistance to the pathogen Xanthomonasoryzae pv. oryzae (Xoo), suggesting the presence of a related defense pathway in rice. We investigated this pathway in rice by identifying proteins that interact with NH1. Here we report the isolation and characterization of a rice cDNA encoding a novel protein, named NRR (for negative regulator of resistance). NRR interacts with NPR1 in the NPR1-interacting domain (NI25) consisting of 25 amino acids. NRR also interacts with NH1; however, NI25 was not sufficient for a strong interaction, indicating a difference between the rice and the Arabidopsis proteins. Silencing of NRR in rice had little effect on resistance to Xoo. When constitutively over-expressed in rice, NRR affected basal resistance, age-related resistance and Xa21-mediated resistance, causing enhanced susceptibility to Xoo. This phenotype was correlated with elevated NRR mRNA and protein levels and increased Xoo growth. Over-expression of NRR suppressed the induction of defense-related genes. NRR:GFP (green fluorescent protein) protein was localized to the nucleus, indicating that NRR may act directly to suppress the activation of defense genes. The fact that NRR compromises Xa21-mediated resistance indicates cross-talk or overlap between NH1- and Xa21-mediated pathways.
15986920	Overexpression of a rice NPR1 homolog leads to constitutive activation of defense response and hypersensitivity to light.	2005	Mol Plant Microbe Interact	Arabidopsis NPR1/NIM1 is a key regulator of systemic acquired resistance (SAR), which confers lasting broad-spectrum resistance. Previous reports indicate that rice has a disease-resistance pathway similar to the Arabidopsis SAR pathway. Here we report the isolation and characterization of a rice NPR1 homologue (NH1). Transgenic rice plants overexpressing NH1 (NH1ox) acquire high levels of resistance to Xanthomonas oryzae pv. oryzae. The resistance phenotype is heritable and correlates with the presence of the transgene and reduced bacterial growth. Northern analysis shows that NH1ox rice spontaneously activates defense genes, contrasting with NPR1-overexpressing Arabidopsis, where defense genes are not activated until induction. Wild-type NH1, but not a point mutant corresponding to npr1-1, interacts strongly with the rice transcription factor rTGA2.2 in yeast two-hybrid. Greenhouse-grown NH1ox plants develop lesion-mimic spots on leaves at preflowering stage although no other developmental effects are observed. However, when grown in growth chambers (GCs) under low light, NH1ox plants are dwarfed, indicating elevated sensitivity to light. The GC-grown NH1ox plants show much higher salicylic acid (SA) levels than the wild type, whereas greenhouse-grown NH1ox plants contain lower SA. These results indicate that NH1 may be involved in the regulation of SA in response to environmental changes.
15388961	Four rice genes encoding NADP malic enzyme exhibit distinct expression profiles.	2004	Biosci Biotechnol Biochem	In plants, the NADP malic enzymes (NADP-MEs) are encoded by small gene families. These NADP-ME gene families are relatively well described in C4 plants but not well studied in C3 plants. In this study, we investigated the NADP-ME gene family in a model C3 monocot plant (rice, Oryza sativa) based on its recently released genomic DNA sequence. We found that the rice NADP-ME family is composed of four members, one plastidic NADP-ME and three cytosolic versions. Although the rice NADP-ME genes identified share a high degree of similarity with one another, one cytosolic NADP-ME (OscytME3) contains several unique amino acid substitutions within highly conserved amino acid regions. Phylogenetic analysis showed that OscytME3 might be derived from a different evolutionary branch than the other three rice genes. Expression analysis of the four rice NADP-ME genes indicated that each had a different tissue-specific and developmental profile, although all four responded to stress stimuli.
9225861	Interaction of rice and human SRP19 polypeptides with signal recognition particle RNA.	1997	Plant Mol Biol	The signal recognition particle (SRP) controls the transport of secretory proteins into and across lipid bilayers. SRP-like ribonucleoprotein complexes exist in all organisms, including plants. We characterized the rice SRP RNA and its primary RNA binding protein, SRP19. The secondary structure of the rice SRP RNA was similar to that found in other eukaryotes; however, as in other plant SRP RNAs, a GUUUCA hexamer sequence replaced the highly conserved GNRA-tetranucleotide loop motif at the apex of helix 8. The small domain of the rice SRP RNA was reduced considerably. Structurally, rice SRP19 lacked two small region that can be present in other SRP19 homologues. Conservative structure prediction and site-directed mutagenesis of rice and human SRP19 polypeptides indicated that binding to the SRP RNAs occurred via a loop that is present in the N-domain of both proteins. Rice SRP19 protein was able to form a stable complex with the rice SRP RNA in vitro. Furthermore, heterologous ribonucleoprotein complexes with components of the human SRP were assembled, thus confirming a high degree of structural and functional conservation between plant and mammalian SRP components.
