24927545	Plant roots use a patterning mechanism to position lateral root branches toward available water.	2014	Proc Natl Acad Sci U S A	The architecture of the branched root system of plants is a major determinant of vigor. Water availability is known to impact root physiology and growth; however, the spatial scale at which this stimulus influences root architecture is poorly understood. Here we reveal that differences in the availability of water across the circumferential axis of the root create spatial cues that determine the position of lateral root branches. We show that roots of several plant species can distinguish between a wet surface and air environments and that this also impacts the patterning of root hairs, anthocyanins, and aerenchyma in a phenomenon we describe as hydropatterning. This environmental response is distinct from a touch response and requires available water to induce lateral roots along a contacted surface. X-ray microscale computed tomography and 3D reconstruction of soil-grown root systems demonstrate that such responses also occur under physiologically relevant conditions. Using early-stage lateral root markers, we show that hydropatterning acts before the initiation stage and likely determines the circumferential position at which lateral root founder cells are specified. Hydropatterning is independent of endogenous abscisic acid signaling, distinguishing it from a classic water-stress response. Higher water availability induces the biosynthesis and transport of the lateral root-inductive signal auxin through local regulation of tryptophan aminotransferase of Arabidopsis 1 and PIN-formed 3, both of which are necessary for normal hydropatterning. Our work suggests that water availability is sensed and interpreted at the suborgan level and locally patterns a wide variety of developmental processes in the root.
24753598	Beyond the single gene: How epistasis and gene-by-environment effects influence crop domestication.	2014	Proc Natl Acad Sci U S A	Domestication is a multifaceted evolutionary process, involving changes in individual genes, genetic interactions, and emergent phenotypes. There has been extensive discussion of the phenotypic characteristics of plant domestication, and recent research has started to identify the specific genes and mutational mechanisms that control domestication traits. However, there is an apparent disconnect between the simple genetic architecture described for many crop domestication traits, which should facilitate rapid phenotypic change under selection, and the slow rate of change reported from the archeobotanical record. A possible explanation involves the middle ground between individual genetic changes and their expression during development, where gene-by-gene (epistatic) and gene-by-environment interactions can modify the expression of phenotypes and opportunities for selection. These aspects of genetic architecture have the potential to significantly slow the speed of phenotypic evolution during crop domestication and improvement. Here we examine whether epistatic and gene-by-environment interactions have shaped how domestication traits have evolved. We review available evidence from the literature, and we analyze two domestication-related traits, shattering and flowering time, in a mapping population derived from a cross between domesticated foxtail millet and its wild progenitor. We find that compared with wild progenitor alleles, those favored during domestication often have large phenotypic effects and are relatively insensitive to genetic background and environmental effects. Consistent selection should thus be able to rapidly change traits during domestication. We conclude that if phenotypic evolution was slow during crop domestication, this is more likely due to cultural or historical factors than epistatic or environmental constraints.
25034662	Phylogenetic analysis and evolutionary studies of plant carotenoid cleavage dioxygenase gene.	2014	Gene	The oxidative breakdown of carotenoid evidences the formation of apocarotenoids through carotenoid cleavage dioxygenases (CCDs). Numerous CCDs and apocarotenoids have been identified and characterized in plants. Using available sequence data, a study was performed to investigate the phylogenetic relationship among CCD genes and to statistically estimate the sequence conservation and functional divergence. In total, 77 genes were identified from 39 species belonging to 21 families. Our result of phylogenetic analysis indicated the existence of well-conserved subfamilies. Moreover, comparative genomic analysis showed that the gene structures of the CCDs were highly conserved across some different lineage species. Through functional divergence analysis, a substantial divergence was found between CCD subfamilies. In addition, examination of the site-specific profile revealed the critical amino acid residues accounting for functional divergence. This study mainly focused on the evolution of CCD genes and their functional divergence which may deliver an initial step for further experimental verifications.
24622186	Energy: Islands of light.	2014	Nature	
25035499	Ancient hybridizations among the ancestral genomes of bread wheat.	2014	Science	The allohexaploid bread wheat genome consists of three closely related subgenomes (A, B, and D), but a clear understanding of their phylogenetic history has been lacking. We used genome assemblies of bread wheat and five diploid relatives to analyze genome-wide samples of gene trees, as well as to estimate evolutionary relatedness and divergence times. We show that the A and B genomes diverged from a common ancestor ~7 million years ago and that these genomes gave rise to the D genome through homoploid hybrid speciation 1 to 2 million years later. Our findings imply that the present-day bread wheat genome is a product of multiple rounds of hybrid speciation (homoploid and polyploid) and lay the foundation for a new framework for understanding the wheat genome as a multilevel phylogenetic mosaic.
24766890	Plant PRRs and the activation of innate immune signaling.	2014	Mol Cell	Despite being sessile organisms constantly exposed to potential pathogens and pests, plants are surprisingly resilient to infections. Plants can detect invaders via the recognition of pathogen-associated molecular patterns (PAMPs) by pattern recognition receptors (PRRs). Plant PRRs are surface-localized receptor-like kinases, which comprise a ligand-binding ectodomain and an intracellular kinase domain, or receptor-like proteins, which do not exhibit any known intracellular signaling domain. In this review, we summarize recent discoveries that shed light on the molecular mechanisms underlying ligand perception and subsequent activation of plant PRRs. Notably, plant PRRs appear as central components of multiprotein complexes at the plasma membrane that contain additional transmembrane and cytosolic kinases required for the initiation and specificity of immune signaling. PRR complexes are under tight control by protein phosphatases, E3 ligases, and other regulatory proteins, illustrating the exquisite and complex regulation of these molecular machines whose proper activation underlines a crucial layer of plant immunity.
24395252	Grass flower development.	2014	Methods Mol Biol	Grasses bear unique flowers lacking obvious petals and sepals in special inflorescence units, the florets and the spikelet. Despite this, grass floral organs such as stamens and lodicules (petal homologs) are specified by ABC homeotic genes encoding MADS domain transcription factors, suggesting that the ABC model of eudicot flower development is largely applicable to grass flowers. However, some modifications need to be made for the model to fit grasses well: for example, a YABBY gene plays an important role in carpel specification. In addition, a number of genes are involved in the development of the lateral organs that constitute the spikelet. In this review, we discuss recent progress in elucidating the genes required for flower and spikelet development in grasses, together with those involved in fate determination of the spikelet and flower meristems.
23895552	Shared and distinct functions of two Gti1/Pac2 family proteins in growth, morphogenesis and pathogenicity of Magnaporthe oryzae.	2014	Environ Microbiol	Gti1/Pac2 are conserved family proteins that regulate morphogenic transition in yeasts such as Schizosaccharomyces pombe and Candida albicans, and they also control toxin production and pathogenicity in filamentous fungus Fusarium graminearum. To test the functions of Gti1/Pac2 paralogues MoGti1 and MoPac2 in the rice blast fungus Magnaporthe oryzae, we generated respective ΔMogti1 and ΔMopac2 mutant strains. We found that MoGti1 and MoPac2 exhibit shared and distinct roles in hyphal growth, conidiation, sexual reproduction, stress responses, surface hydrophobility, invasive hyphal growth and pathogenicity. Consistent with the putative conserved function of MoGti1, we showed that MoGti1-GFP is localized to the nucleus, whereas MoPac2-GFP is mainly found in the cytoplasm. In addition, we provided evidence that the nuclear localization of MoGti1 could be subject to regulation by MoPmk1 mitogen-activated protein kinase. Moreover, we found that the reduced pathogenicity in the ΔMopac2 mutant corresponds with an increased expression of plant defence genes, including PR1a, AOS2, LOX1, PAD4, and CHT1. Taken together, our studies provide a comprehensive analysis of two similar but distinct Gti1/Pac2 family proteins in M. oryzae, which underlines the important yet conserved functions of these family proteins in plant pathogenic fungi.
24739238	Isolation, in silico characterization, localization and expression analysis of abiotic stress-responsive rice G-protein β subunit (RGB1).	2014	Plant Signal Behav	Heterotrimeric G-proteins constitute the classical signaling paradigm along with their cognate G-protein coupled receptors (GPCRs) and appropriate downstream effectors. G-protein complex is composed of highly conserved Gα, Gβ, and Gγ subunits. In the present study, we have characterized the cis-regulatory elements of the promoter, signature motifs, transcript profile in response to abiotic stresses, and sub-cellular localization of G-protein β subunit RGB1(I) from Indica rice. The RGB1(I) promoter sequence has various stress-related cis-regulatory elements suggesting its role in abiotic stress signaling. Presence of six WD-40 repeat signature motifs in RGB1(I) suggest its role in exchange of GDP by GTP in Gα subunit and receptor recognition. Presence of multiple N-myristoylation consensus sites in RGB1(I) protein sequence, which is necessary for membrane localization of protein, confirms the association of RGB1(I) in plasma membrane. Extrinsic association of RGB1(I) with plasma membrane seems essential for its role in regulation of signaling pathways and adaptation to high salt stress. We report the sub-cellular localization of RGB1(I) in plasma membrane, cytosol and nucleus. The localization of RGB1(I) in nucleus supports its possible interaction with transcription factors regulating the expression of salt stress responsive genes. The RGB1(I) transcript was upregulated under KCl, cold, dehydration and micronutrient (Mn (2+) and Zn (2+)) stress. However, transcript variation under elevated temperature, ABA, NaCl, and toxic heavy metals (viz. arsenite, arsenate, cadmium and lead) was not encouraging. These evidences indicate an active and significant role of RGB1(I) in the regulation of abiotic stresses in rice and propound its possible exploitation in the development of abiotic stress tolerance in crops.
24173818	Accumulation and translocation of 198Hg in four crop species.	2014	Environ Toxicol Chem	The uptake and transport of mercury (Hg) through vegetation play an important role in the biogeochemical cycling of Hg. However, quantitative information regarding Hg translocation in plants is poorly understood. In the present study, Hg uptake, accumulation, and translocation in 4 crops-rice (Oryza.sativa L.), wheat (Triticum L.), corn (Zea mays L.), and oilseed rape (Brassica campestris L.)-grown in Hoagland solution were investigated using a stable isotope ((198)Hg) tracing technique. The distribution of (198)Hg in root, stem, and leaf after uptake was quantified, and the release of (198)Hg into the air from crop leaf was investigated. It was found that the concentration of Hg accumulated in the root, stem, and leaf of rice increased linearly with the spiked (198)Hg concentration. The uptake equilibrium constant was estimated to be 2.35 mol Hg/g dry weight in rice root per mol/L Hg remaining in the Hoagland solution. More than 94% of (198)Hg uptake was accumulated in the roots for all 4 crops examined. The translocation to stem and leaf was not significant because of the absence of Hg(2+) complexes that facilitate Hg transport in plants. The accumulated (198)Hg in stem and leaf was not released from the plant at air Hg(0) concentration ranging from 0 ng/m(3) to 10 ng/m(3). Transfer factor data analysis showed that Hg translocation from stems to leaves was more efficient than that from roots to stems.
