DOCUMENT ID	TYPE	START POSITION	END POSITION	MATCHED TERM	PREFERRED FORM	ENTITY ID	ZONE	SENTENCE ID	ORIGIN
unknown	organism	28	32	rice	Oryza	D012275		S1	MeSH desc (Organisms)
unknown	organism	28	32	rice	Oryza sativa	4530		S1	NCBI Taxonomy
unknown	molecular_function	33	40	kinesin	microtubule motor activity	GO:0003777		S1	Gene Ontology
unknown	chemical	33	40	kinesin	Kinesin	D016547		S1	MeSH desc (Chemicals and Drugs)
unknown	gene/protein	33	44	kinesin O12	Kinesin-like protein KIN-14Q	Q0IMS9		S1	Swiss-Prot
unknown	cell_line	41	44	O12	JHU-012	CVCL_5987		S1	Cellosaurus
unknown	chemical	52	60	calponin	calponin	C056623		S1	MeSH supp (Chemicals and Drugs)
unknown	sequence	70	76	domain	polypeptide_domain	SO:0000417		S1	Sequence Ontology
unknown	sequence	95	104	predicted	predicted	SO:0000732		S2	Sequence Ontology
unknown	organism	114	118	rice	Oryza	D012275		S2	MeSH desc (Organisms)
unknown	organism	114	118	rice	Oryza sativa	4530		S2	NCBI Taxonomy
unknown	organism	119	124	Oryza	Oryza	D012275		S2	MeSH desc (Organisms)
unknown	organism	119	131	Oryza sativa	Oryza	D012275		S2	MeSH desc (Organisms)
unknown	organism	119	131	Oryza sativa	Oryza sativa (Indica Group) x Oryza nivara	311553		S2	NCBI Taxonomy
unknown	organism	119	131	Oryza sativa	Oryza sativa	4530		S2	NCBI Taxonomy
unknown	sequence	146	152	genome	genome	SO:0001026		S3	Sequence Ontology
unknown	molecular_function	173	180	kinesin	microtubule motor activity	GO:0003777		S3	Gene Ontology
unknown	chemical	173	180	kinesin	Kinesin	D016547		S3	MeSH desc (Chemicals and Drugs)
unknown	chemical	186	194	proteins	protein	CHEBI:36080		S3	ChEBI
unknown	molecular_function	215	222	kinesin	microtubule motor activity	GO:0003777		S3	Gene Ontology
unknown	chemical	215	222	kinesin	Kinesin	D016547		S3	MeSH desc (Chemicals and Drugs)
unknown	gene/protein	215	226	kinesin O12	Kinesin-like protein KIN-14Q	Q0IMS9		S3	Swiss-Prot
unknown	cell_line	223	226	O12	JHU-012	CVCL_5987		S3	Cellosaurus
unknown	molecular_function	253	260	kinesin	microtubule motor activity	GO:0003777		S3	Gene Ontology
unknown	chemical	253	260	kinesin	Kinesin	D016547		S3	MeSH desc (Chemicals and Drugs)
unknown	gene/protein	253	263	kinesin-14	Kinesin-related protein 2	Q9BPU3		S3	Swiss-Prot
unknown	cell_line	279	282	O12	JHU-012	CVCL_5987		S4	Cellosaurus
unknown	chemical	289	297	calponin	calponin	C056623		S4	MeSH supp (Chemicals and Drugs)
unknown	sequence	310	316	domain	polypeptide_domain	SO:0000417		S4	Sequence Ontology
unknown	gene/protein	337	342	actin	Actin	P51775		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	Q9UVX4		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P53477		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P53491		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P24902		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	Q8SWN8		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	Q92193		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P17128		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P48465		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P20904		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P45520		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	O65316		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P26183		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	Q9P4D1		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	O17320		S4	Swiss-Prot
unknown	chemical	337	342	actin	Actins	D000199		S4	MeSH desc (Chemicals and Drugs)
unknown	gene/protein	337	342	actin	Actin	Q9UVZ8		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P53500		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P53476		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	O65314		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	O00937		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	Q2U7A3		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	P91754		S4	Swiss-Prot
unknown	gene/protein	337	342	actin	Actin	Q92192		S4	Swiss-Prot
