DOCUMENT ID	TYPE	START POSITION	END POSITION	MATCHED TERM	PREFERRED FORM	ENTITY ID	ZONE	SENTENCE ID	ORIGIN
unknown	organism	24	28	rice	Oryza	D012275		S1	MeSH desc (Organisms)
unknown	organism	24	28	rice	Oryza sativa	4530		S1	NCBI Taxonomy
unknown	chemical	29	34	alpha	alpha-particle	CHEBI:30216		S1	ChEBI
unknown	molecular_function	35	44	oxygenase	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	GO:0016701		S1	Gene Ontology
unknown	chemical	74	87	prostaglandin	prostaglandin	CHEBI:26333		S2	ChEBI
unknown	chemical	101	123	Long-chain fatty acids	long-chain fatty acid	CHEBI:15904		S3	ChEBI
unknown	sequence	106	111	chain	mature_protein_region	SO:0000419		S3	Sequence Ontology
unknown	chemical	112	123	fatty acids	Fatty Acids	D005227		S3	MeSH desc (Chemicals and Drugs)
unknown	chemical	112	123	fatty acids	fatty acid	CHEBI:35366		S3	ChEBI
unknown	chemical	118	123	acids	acid	CHEBI:37527		S3	ChEBI
unknown	gene/protein	124	127	can	carbonic anhydrase 2	PR:000034449		S3	Protein Ontology
unknown	gene/protein	146	150	Cn-1	beta-Ala-His dipeptidase (rat)	PR:Q66HG3		S3	Protein Ontology
unknown	gene/protein	146	150	Cn-1	beta-Ala-His dipeptidase	PR:000005628		S3	Protein Ontology
unknown	gene/protein	146	150	Cn-1	beta-Ala-His dipeptidase (mouse)	PR:Q8BUG2		S3	Protein Ontology
unknown	chemical	151	160	aldehydes	Aldehydes	D000447		S3	MeSH desc (Chemicals and Drugs)
unknown	chemical	151	160	aldehydes	aldehyde	CHEBI:17478		S3	ChEBI
unknown	chemical	164	169	alpha	alpha-particle	CHEBI:30216		S3	ChEBI
unknown	chemical	279	289	nucleotide	nucleotide	CHEBI:36976		S5	ChEBI
unknown	sequence	290	298	sequence	region	SO:0000001		S5	Sequence Ontology
unknown	chemical	302	312	fatty acid	fatty acid	CHEBI:35366		S5	ChEBI
unknown	chemical	308	312	acid	acid	CHEBI:37527		S5	ChEBI
unknown	chemical	313	318	alpha	alpha-particle	CHEBI:30216		S5	ChEBI
unknown	molecular_function	319	328	oxygenase	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	GO:0016701		S5	Gene Ontology
unknown	sequence	329	333	gene	gene	SO:0000704		S5	Sequence Ontology
unknown	organism	337	341	rice	Oryza	D012275		S5	MeSH desc (Organisms)
unknown	organism	337	341	rice	Oryza sativa	4530		S5	NCBI Taxonomy
unknown	organism	349	354	Oryza	Oryza	D012275		S5	MeSH desc (Organisms)
unknown	organism	349	361	Oryza sativa	Oryza	D012275		S5	MeSH desc (Organisms)
unknown	organism	349	361	Oryza sativa	Oryza sativa (Indica Group) x Oryza nivara	311553		S5	NCBI Taxonomy
unknown	organism	349	361	Oryza sativa	Oryza sativa	4530		S5	NCBI Taxonomy
unknown	chemical	388	393	amino	primary amino group	CHEBI:46882		S6	ChEBI
unknown	chemical	388	398	amino acid	amino acid	CHEBI:33709		S6	ChEBI
unknown	chemical	388	398	amino acid	alpha-amino acid	CHEBI:33704		S6	ChEBI
unknown	sequence	388	398	amino acid	amino_acid	SO:0001237		S6	Sequence Ontology
unknown	chemical	394	398	acid	acid	CHEBI:37527		S6	ChEBI
unknown	sequence	399	407	sequence	region	SO:0000001		S6	Sequence Ontology
unknown	chemical	455	468	prostaglandin	prostaglandin	CHEBI:26333		S6	ChEBI
unknown	sequence	492	496	gene	gene	SO:0000704		S7	Sequence Ontology
unknown	organism	514	525	Escherichia	Escherichia	D004925		S7	MeSH desc (Organisms)
unknown	organism	514	530	Escherichia coli	Escherichia coli	D004926		S7	MeSH desc (Organisms)
unknown	organism	514	530	Escherichia coli	Escherichia coli	562		S7	NCBI Taxonomy
unknown	chemical	613	626	linoleic acid	linoleic acid	CHEBI:17351		S8	ChEBI
unknown	chemical	613	626	linoleic acid	Linoleic Acid	D019787		S8	MeSH desc (Chemicals and Drugs)
unknown	chemical	622	626	acid	acid	CHEBI:37527		S8	ChEBI
unknown	chemical	654	667	hydroperoxide	hydroperoxide	CHEBI:35923		S8	ChEBI
unknown	chemical	654	667	hydroperoxide	ROOH	CHEBI:79974		S8	ChEBI
unknown	chemical	654	667	hydroperoxide	Hydrogen Peroxide	D006861		S8	MeSH desc (Chemicals and Drugs)
unknown	chemical	675	685	fatty acid	fatty acid	CHEBI:35366		S8	ChEBI
unknown	chemical	681	685	acid	acid	CHEBI:37527		S8	ChEBI
unknown	gene/protein	755	759	Cn-1	beta-Ala-His dipeptidase (rat)	PR:Q66HG3		S8	Protein Ontology
unknown	gene/protein	755	759	Cn-1	beta-Ala-His dipeptidase	PR:000005628		S8	Protein Ontology
unknown	gene/protein	755	759	Cn-1	beta-Ala-His dipeptidase (mouse)	PR:Q8BUG2		S8	Protein Ontology
unknown	chemical	760	768	aldehyde	aldehyde	CHEBI:17478		S8	ChEBI
unknown	chemical	787	801	linoleic acids	Linoleic Acids	D008041		S9	MeSH desc (Chemicals and Drugs)
unknown	chemical	796	801	acids	acid	CHEBI:37527		S9	ChEBI
unknown	organism	818	822	rice	Oryza	D012275		S9	MeSH desc (Organisms)
unknown	organism	818	822	rice	Oryza sativa	4530		S9	NCBI Taxonomy
unknown	chemical	823	828	alpha	alpha-particle	CHEBI:30216		S9	ChEBI
unknown	molecular_function	829	838	oxygenase	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	GO:0016701		S9	Gene Ontology
unknown	chemical	1117	1127	dithionite	dithionite(2-)	CHEBI:42160		S10	ChEBI
unknown	chemical	1117	1127	dithionite	Dithionite	D004227		S10	MeSH desc (Chemicals and Drugs)
